0,400,155,315,116,585,167,257,271,355,58,182,111,668,368,605
1,271,315,155,585,116,257,167,400,58,355,111,182,368,668,561
2,315,271,400,167,257,116,585,155,182,111,355,58,605,561,668
3,155,400,271,257,167,585,116,315,111,182,58,355,561,605,368
4,585,167,257,271,400,155,315,116,668,368,605,561,355,58,182
5,167,257,270,400,271,315,155,585,368,668,561,605,58,355,111
6,116,585,189,155,315,271,400,167,605,561,668,368,182,111,355
7,189,116,585,315,155,400,271,257,561,605,368,668,111,182,58
8,605,368,668,111,182,58,355,561,257,167,585,116,315,155,400
9,561,668,368,182,111,355,58,605,167,257,116,585,155,315,271
10,668,561,605,58,355,111,182,368,585,116,270,167,400,271,315
11,368,605,561,355,58,182,111,668,116,585,167,257,271,400,155
12,58,355,441,561,605,368,668,111,315,155,400,271,257,167,585
13,111,58,355,605,561,668,368,182,155,315,271,400,167,257,116
14,182,111,481,368,668,561,605,58,400,271,315,155,585,116,257
15,270,182,111,668,368,605,561,355,271,400,189,315,116,585,167
16,257,45,182,392,521,165,703,215,399,53,155,422,481,441,189
17,355,392,58,45,165,521,395,399,215,422,257,53,441,481,270
18,392,521,116,165,703,395,596,45,53,215,422,399,189,270,481
19,45,165,167,521,395,703,306,392,422,399,53,215,270,189,441
20,53,215,558,399,306,45,147,165,481,189,441,270,311,392,62
21,422,399,45,62,533,215,521,306,441,270,481,189,558,147,392
22,215,53,165,422,45,147,392,189,270,481,558,441,62,596,703
23,399,422,62,236,311,53,566,270,189,441,395,481,165,558,147
24,481,270,53,189,399,422,558,441,165,306,147,392,533,566,596
25,441,189,703,270,236,62,399,481,558,551,596,45,306,422,53
26,165,441,395,481,270,189,53,62,533,147,311,306,703,551,558
27,521,481,399,441,189,270,311,422,45,558,306,147,215,533,551
28,395,596,392,533,441,481,270,311,566,104,369,151,521,306,399
29,703,306,521,558,481,441,189,596,147,236,215,311,551,653,533
30,306,703,236,147,558,533,441,395,311,62,392,551,534,399,45
31,596,395,147,311,422,558,481,53,62,45,165,521,392,703,566
32,533,147,596,215,392,311,534,566,88,395,146,267,401,62,369
33,236,551,566,703,53,596,527,419,521,146,62,558,45,165,395
34,551,236,306,596,62,399,422,558,395,521,45,165,566,53,215
35,62,566,551,306,215,236,165,703,596,330,521,395,422,267,653
36,147,533,311,566,704,419,62,88,527,392,330,596,395,521,165
37,311,558,215,53,147,392,551,521,306,596,533,566,399,236,422
38,558,311,533,551,694,704,215,236,703,151,508,62,147,45,306
39,566,62,422,395,596,306,45,147,392,165,399,533,53,215,521
40,214,267,694,151,27,146,236,330,488,419,104,508,596,527,289
41,534,27,146,704,419,694,88,151,267,508,263,289,294,488,323
42,27,534,323,289,369,666,488,572,214,401,704,236,330,311,151
43,267,214,666,146,534,330,653,369,572,488,401,704,694,508,527
44,289,666,214,27,527,534,694,263,151,533,236,419,104,330,88
45,146,330,572,267,323,401,112,666,198,308,488,214,419,151,534
46,330,146,27,369,572,267,198,289,294,323,308,112,532,77,196
47,666,289,508,198,112,27,369,534,419,311,551,527,267,146,704
48,419,369,289,653,666,112,294,267,27,198,323,694,77,88,308
49,572,508,704,88,214,551,104,533,330,534,527,146,289,369,401
50,369,419,330,263,104,88,323,704,694,214,566,534,151,27,488
51,508,572,88,666,267,151,330,27,263,704,703,401,488,419,236
52,263,308,369,419,198,508,214,551,236,527,151,104,704,572,146
53,88,704,112,508,151,294,401,146,369,694,214,653,323,308,104
54,308,527,401,330,88,653,666,323,289,572,294,77,112,694,623
55,198,88,294,77,653,34,9,112,210,289,666,323,347,263,572
56,704,294,263,488,330,572,289,308,653,77,329,666,198,347,577
57,112,263,419,214,551,566,151,508,104,369,267,27,88,401,330
58,294,198,151,694,146,104,533,488,551,88,419,330,653,534,27
59,527,112,308,323,77,263,572,95,666,653,198,488,214,532,694
60,401,104,527,534,263,369,704,214,146,566,88,703,508,289,267
61,151,77,198,104,488,289,263,653,323,267,27,369,236,704,419
62,77,151,488,401,508,527,419,694,704,703,534,88,146,323,263
63,104,401,653,308,294,9,34,210,95,112,46,198,572,666,528
64,694,653,104,112,401,323,267,527,534,27,289,294,369,214,508
65,488,323,534,527,566,214,146,104,508,263,653,572,27,198,294
66,653,694,267,294,289,488,508,198,401,666,572,308,263,104,214
67,323,488,77,572,308,198,27,401,112,294,694,263,527,395,311
68,310,-1,-1,117,-1,-1,545,-1,-1,96,-1,208,-1,609,286
69,54,-1,-1,9,-1,-1,609,-1,-1,545,-1,96,-1,615,101
70,117,-1,-1,310,-1,77,308,-1,-1,95,-1,623,-1,290,-1
71,9,-1,-1,54,-1,-1,615,-1,-1,499,-1,174,-1,557,96
